State,Month,pm10
New Mexico,09/2015,22.694864048338367
New Mexico,10/2015,20.16616314199396
New Mexico,11/2015,21.70903010033445
New Mexico,12/2015,22.254071661237784
Oklahoma,01/2015,16.574766355140188
Oklahoma,02/2015,16.939698492462313
Oklahoma,03/2015,16.840182648401825
Oklahoma,04/2015,15.872427983539094
Oklahoma,05/2015,14.219607843137254
Oklahoma,06/2015,25.32900432900433
Oklahoma,07/2015,31.387931034482758
Oklahoma,08/2015,21.37272727272727
Oklahoma,09/2015,20.416309012875537
Oklahoma,10/2015,19.71841155234657
Oklahoma,11/2015,11.051063829787234
Oklahoma,12/2015,10.282926829268293
Ohio,01/2015,14.9375
Ohio,02/2015,19.082539682539682
Ohio,03/2015,20.74327628361858
Ohio,04/2015,20.082644628099175
Ohio,05/2015,24.975609756097562
Ohio,06/2015,23.788300835654596
Ohio,07/2015,25.975342465753425
Ohio,08/2015,21.002645502645503
Ohio,09/2015,20.462365591397848
Ohio,10/2015,17.850267379679146
Ohio,11/2015,16.510752688172044
Ohio,12/2015,15.240641711229946
Oregon,01/2015,13.303571428571429
Oregon,02/2015,12.511111111111111
Oregon,03/2015,12.546875
Oregon,04/2015,8.583333333333334
Oregon,05/2015,9.307692307692308
Oregon,06/2015,14.541666666666666
Oregon,07/2015,16.08
Oregon,08/2015,26.28
Oregon,09/2015,10.591836734693878
Oregon,10/2015,16.52173913043478
Oregon,11/2015,11.901960784313726
Oregon,12/2015,8.122448979591837
Pennsylvania,01/2015,14.224625623960067
Pennsylvania,02/2015,17.863723608445298
Pennsylvania,03/2015,16.977777777777778
Pennsylvania,04/2015,15.051324503311259
Pennsylvania,05/2015,20.934673366834172
Pennsylvania,06/2015,17.106666666666666
Pennsylvania,07/2015,21.09546165884194
Pennsylvania,08/2015,18.349529780564264
Pennsylvania,09/2015,19.266990291262136
Pennsylvania,10/2015,14.12214983713355
Pennsylvania,11/2015,14.162162162162161
Pennsylvania,12/2015,14.974576271186441
Tennessee,01/2015,14.99090909090909
Tennessee,02/2015,17.835443037974684
Tennessee,03/2015,20.107438016528924
Tennessee,04/2015,20.41747572815534
Tennessee,05/2015,23.53
Tennessee,06/2015,33.22330097087379
Tennessee,07/2015,27.097087378640776
Tennessee,08/2015,25.02970297029703
Tennessee,09/2015,22.12
Tennessee,10/2015,22.8
Tennessee,11/2015,20.03030303030303
Tennessee,12/2015,21.568627450980394
Texas,01/2015,18.58041958041958
Texas,02/2015,14.686440677966102
Texas,03/2015,21.176470588235293
Texas,04/2015,22.742857142857144
Texas,05/2015,22.31297709923664
Texas,06/2015,31.93798449612403
Texas,07/2015,37.03076923076923
Texas,08/2015,27.57037037037037
Texas,09/2015,20.560606060606062
Texas,10/2015,23.007518796992482
Texas,11/2015,17.134328358208954
Texas,12/2015,22.259541984732824
Utah,01/2015,23.75722543352601
Utah,02/2015,14.394871794871795
Utah,03/2015,17.364928909952607
Utah,04/2015,21.426829268292682
Utah,05/2015,10.4921875
Utah,06/2015,21.016597510373444
Utah,07/2015,20.984615384615385
Utah,08/2015,27.462745098039214
Utah,09/2015,21.514056224899598
Utah,10/2015,14.393939393939394
Utah,11/2015,12.032
Utah,12/2015,18.456375838926174
Vermont,01/2015,10.53125
Vermont,02/2015,9.433333333333334
Vermont,03/2015,11.571428571428571
Vermont,04/2015,7.575
Vermont,05/2015,13.44
Vermont,06/2015,9.875
Vermont,07/2015,12.0
Vermont,08/2015,10.783783783783784
Vermont,09/2015,20.833333333333332
Vermont,10/2015,0.0
Vermont,11/2015,0.0
Vermont,12/2015,0.0
Virginia,01/2015,7.142857142857143
Virginia,02/2015,9.472727272727273
Virginia,03/2015,10.493506493506494
Virginia,04/2015,10.864406779661017
Virginia,05/2015,15.428571428571429
Virginia,06/2015,17.384615384615383
